ID;Question;Options
1;Vilket alternativ är minst rimligt om läkemedelsförskrivning och expediering på apotek?;Det är inte tillåtet att förskriva läkemedel off label, dvs utanför det som läkemedlet är godkänt för.;En patient får ett läkemedel förskrivet som inte är på förmån, och får själv betala hela kostnaden.;Läkemedel inom förmånen är helt gratis för barn (under 18 år) och äldre (över 65 år).;En patient kommer till apoteket och ska hämta ut Amlodipin Accord, men expedieras Amlodipin Sandoz. Byte sker enligt utbytbarhetslistan till periodens vara.;En patient ska hämta ut läkemedel för sin hjärtsviktsbehandling. Alla läkemedlen är inom förmånen. Patienten får hämta ut för högst 90 dagar.
2;Kvinna, 75 år, har det senaste året haft tilltagande diarré, det startade med två vattentunna avföringar dagligen men hon har nu 6-8 vattentunna avföringar per dag och ibland även på natten. Inget blod i avföringen. Vilken diagnos är mest sannolik?;Mikroskopisk kolit;Ulcerös kolit;Infektiös gastroenterit;IBS-D (IBS med diarrédominans);Kolorektal cancer
3;Man, 29 år, ulcerös kolit sedan 17-års ålder. Söker pga 3-4 veckor med lösa avföringar (4/dygn) och blod. Hb och CRP normala. Rektoskopi visar måttlig rektal inflammation 10 cm upp. Vilken handläggning är korrekt?;Sätter in lokalbehandling med 5-ASA suppositorier och skriver remiss till mag-tarmmottagning för uppföljning.;Remiss till koloskopi enligt SVF för cancer i tjock- och ändtarm;Sätter in Prednisolon per oralt och skriver remiss för koloskopi.;Sätter in Prednisolon per oralt och skriver remiss till mag-tarmmottagning för uppföljning.;Remiss till akutmottagning för snabb handläggning av misstänkt akut skov av ulcerös kolit.
4;Vilket av följande är behandlingsindikation för kronisk lymfatisk leukemi (KLL)?;B-lymfocyter > 300 x 10^9/L;B-lymfocyter > 100 x 10^9/L;Hb < 100 g/L pga KLL;Buksmärtor;Förstorade lymfkörtlar < 10 cm utan symtom
5;Vilket påstående om njurartärstenos är felaktigt?;den vanligaste orsaken är ateroskleros;typiskt vid njurartärstenos är förekomst av erytrocyturi och ökad albuminuri;njurdoppler är en bra screening-undersökning;en stegring av p-kreatinin >50% efter start av ACE-hämmare kan tyda på njurartärstenos;unga individer utan ateroskleros kan drabbas av njurartärstenos
6;Du tar emot en 68-årig man som plötsligt blivit andfådd. Han är blek och svettig, andas snabbt, och syremättnaden är 82% på luft. Vilket steg i ABCDE ska prioriteras först?;Ta blodgas;Säkerställa fri luftväg;Beställa EKG;Kontrollera medvetandegrad;Kontrollera cirkulation och blodtryck
7;En 23-årig man hittas i trappuppgång. Reagerar ej på tilltal, andas långsamt (8/min) och ytligt. Pupiller miotiska, hud kall/fuktig. Puls 52, sat 84%. Färska nålstick. Vilken diagnos är mest sannolik?;Alkoholintoxikation;Hypoglykemi;Opiodintoxikation;Sepsis;Subarachnoidalblödning
8;[SE BILD I ORIGINAL - EKG] En 68-årig kvinna med hypertoni behandlas med bendroflumetiazid. Söker pga muskelsvaghet och stickningar. Puls 88. Vilken diagnos är mest sannolik?;Hypokalcemi;Hypokalemi;Hyponatremi;Hypernatremi;Hyperkalemi
9;Vilket av följande fynd är typiskt för en vestibularisneurit?;Dystaxi vid test av finger-näs;Riktningsväxlande nystagmus;Hörselnedsättning;Positivt impulstest;Positiv test of skew
10;En 23-årig kvinna söker akut pga plötslig svår "thunderclap" huvudvärk vid träning. Nackstyv, ljuskänslig, men vaken. Inga fokala bortfall. Vilken diagnos måste övervägas i första hand?;Subaraknoidalblödning;Viral meningit;Hjärntumör;Spänningshuvudvärk;Migrän
11;Vilket av nedanstående påståenden gällande astma stämmer fullt ut?;Metakolintest utlöser bronkospasm hos alla men vid lägre dos om astma föreligger. Typ-2 astma kännetecknas av låga eosinofiler.;Metakolintest utlöser bronkospasm hos alla men vid lägre dos om astma föreligger. Typ-2 astma kännetecknas av höga eosinofiler.;Metakolintest utlöser bronkospasm hos alla men vid lägre dos om astma föreligger. Typ-1 astma kännetecknas av höga eosinofiler.;Metakolintest utlöser bronkospasm enbart hos dem med astma. Typ-2 astma kännetecknas av låga eosinofiler.;Metakolintest utlöser bronkospasm enbart hos dem med astma. Typ-2 astma kännetecknas av höga eosinofiler.
12;Vid en lungemboli är det viktigt att riskstratifiera patienten. Vilka delar ingår i riskstratifieringen?;Hemodynamisk instabilitet och högerkammarpåverkan;Ålder och förekomst av hormonbehandling;Radiologisk utbredning av lungembolin och blödningsrisk;Radiologisk utbredning av lungembolin och hemodynamisk instabilitet;Tid sedan insjuknande och hemodynamisk instabilitet
13;Vad kännetecknar kronisk lungsarkoidos? Vilket alternativ är helt rätt?;Bilaterala hiluslymfom. Bilateral fotledsartrit. Knölros.;Oftast en multiorgansjukdom där lungorna drabbas. Restriktiv spirometri.;Lungröntgenbilden korrelerar alltid med svårighetsgraden. Knölros.;Enbart lungorna drabbas. Nedsatt gasutbytesförmåga.;Obstruktiv spirometri. Oftast en multiorgansjukdom där lungorna vanligtvis drabbas
14;Ung man, stor spontanpneumothorax, behandlad med drän utan komplikationer. Vilka två råd ger du vid utskrivning?;Flygförbud samt dykförbud med tuber/fridykning kommande månad.;Flygförbud samt dykförbud med tuber/fridykning som båda är livslånga.;Ingen fysisk ansträngning kommande månad samt livslångt dykförbud med tuber/fridykning.;Flygförbud kommande månad samt livslångt förbud att snorkla från ytan i samband med bad.;Flygförbud kommande månad samt livslångt dykförbud med tuber/fridykning.
15;Vid ett av dessa tillstånd kan låg kaliumkoncentration i plasma (hypokalemi) ses. Vilket tillstånd?;Acidos;Behandling med betablockerare;Njursvikt;Hjärtsvikt;Muskelskada
16;Vid misstanke om akut Wernicke-Korsakoff's syndrom rekommenderas akut behandling med vad och hur?;Karbamazepin peroralt;tiamin, parenteralt;multivitaminpreparat i högdos peroralt;bensodiazepiner, t ex diazepam parenteralt;cyanokobalamin, parenteralt
17;Vilket av följande alternativ beskriver vanliga biverkningar av kalciumkanalblockerare (t.ex. amlodipin)?;Bradykardi och trötthet;Impotens och depression;Hyponatremi och urinsyrahöjning;Ankelödem och värmekänsla i ansiktet;Torrhosta och hyperkalemi
18;18-årig kvinna med diabetes typ 1 (HbA1c 48). Inkommer med buksmärtor och kräkningar. Högt socker på CGM. Svårt behålla mat/dryck. Vilket är viktigast som första åtgärd?;Minska insulindoserna eftersom hon inte får i sig någon mat;CT buk för att utesluta tarmvred;Blodgas för bedömning av syra-basbalans och blodsocker;Blodstatus och CRP;Avföringsprov för att utesluta gastroenterit
19;Vilka av följande neurologiska bortfallssymtom är tydligast vad gäller ett kärlengagemang inom karotisområdet?;Dysartri utan dysfasi;Perifer facialispares;Svaghet och ryckigt rörelsemönster i ena armen och benet;Bortfall av motorik och sensorik i ena kroppshalvan (s k hemisymtom);Balansstörningar
